Year,Facility_Id,Facility_Name,APR_DRG_Code,APR_Severity_of_Illness_Code,APR_DRG_Description,APR_Severity_of_Illness_Description,APR_Medical_Surgical_Code,APR_Medical_Surgical_Description,Discharges,Mean_Charge,Median_Charge,Mean_Cost,Median_Cost
2013,325,Alice Hyde Medical Center,581,2,"Neonate, Transferred < 5 Days Old, Born Here",Moderate,M,Medical,2,1031.84,1031.84,327.14,327.14
2013,325,Alice Hyde Medical Center,581,4,"Neonate, Transferred < 5 Days Old, Born Here",Extreme,M,Medical,1,1012.85,1012.85,353.37,353.37
2013,325,Alice Hyde Medical Center,614,1,Neonate Bwt 1500-1999G W Or W/O Other Significant Condition,Minor,M,Medical,1,8043.65,8043.65,3075.02,3075.02
2013,325,Alice Hyde Medical Center,614,2,Neonate Bwt 1500-1999G W Or W/O Other Significant Condition,Moderate,M,Medical,1,1073.17,1073.17,329.44,329.44
2013,325,Alice Hyde Medical Center,621,1,Neonate Bwt 2000-2499G W Major Anomaly,Minor,M,Medical,1,1208.18,1208.18,363.66,363.66
2013,325,Alice Hyde Medical Center,626,1,"Neonate Bwt 2000-2499G, Normal Newborn Or Neonate W Other Problem",Minor,M,Medical,10,1475.42,1456.83,557.52,560.37
2013,325,Alice Hyde Medical Center,626,2,"Neonate Bwt 2000-2499G, Normal Newborn Or Neonate W Other Problem",Moderate,M,Medical,3,1716.71,1368.76,642.54,531.91
2013,325,Alice Hyde Medical Center,633,1,Neonate Birthwt >2499G W Major Anomaly,Minor,M,Medical,1,804.83,804.83,325,325
2013,325,Alice Hyde Medical Center,639,1,Neonate Birthwt >2499G W Other Significant Condition,Minor,M,Medical,1,1045.16,1045.16,404.64,404.64
2013,116,Arnot Ogden Medical Center,20,1,Craniotomy For Trauma,Minor,P,Surgical,3,39879.74,38737.81,14409.67,14285.15
2013,325,Alice Hyde Medical Center,640,1,"Neonate Birthwt >2499G, Normal Newborn Or Neonate W Other Problem",Minor,M,Medical,242,1325.5,1359.83,523.37,528.51
2013,325,Alice Hyde Medical Center,640,2,"Neonate Birthwt >2499G, Normal Newborn Or Neonate W Other Problem",Moderate,M,Medical,23,1823.77,1729.84,675.22,627.05
2013,325,Alice Hyde Medical Center,640,3,"Neonate Birthwt >2499G, Normal Newborn Or Neonate W Other Problem",Major,M,Medical,2,3198.15,3198.15,1152.61,1152.61
2013,325,Alice Hyde Medical Center,660,1,Major Hematologic/Immunologic Diag Exc Sickle Cell Crisis & Coagul,Minor,M,Medical,1,3418.76,3418.76,1422.97,1422.97
2013,325,Alice Hyde Medical Center,660,2,Major Hematologic/Immunologic Diag Exc Sickle Cell Crisis & Coagul,Moderate,M,Medical,3,19162.26,21559.06,8547.09,9309.28
2013,325,Alice Hyde Medical Center,660,3,Major Hematologic/Immunologic Diag Exc Sickle Cell Crisis & Coagul,Major,M,Medical,8,20048.23,18261.49,9578.06,7397.6
2013,325,Alice Hyde Medical Center,662,1,Sickle Cell Anemia Crisis,Minor,M,Medical,1,8247.7,8247.7,2659.98,2659.98
2013,325,Alice Hyde Medical Center,663,1,Other Anemia & Disorders Of Blood & Blood-Forming Organs,Minor,M,Medical,8,6252.57,5548.24,2698.11,2081.04
2013,325,Alice Hyde Medical Center,663,2,Other Anemia & Disorders Of Blood & Blood-Forming Organs,Moderate,M,Medical,22,9887.52,9306.91,4854.68,2893.79
2013,325,Alice Hyde Medical Center,663,3,Other Anemia & Disorders Of Blood & Blood-Forming Organs,Major,M,Medical,12,12712.48,8432.18,4692.05,3284.79
2013,325,Alice Hyde Medical Center,663,4,Other Anemia & Disorders Of Blood & Blood-Forming Organs,Extreme,M,Medical,4,12021.17,11050.48,4105.85,3850.04
2013,325,Alice Hyde Medical Center,681,2,Other O.R. Procedures For Lymphatic/Hematopoietic/Other Neoplasms,Moderate,P,Surgical,1,17803.76,17803.76,4746.14,4746.14
2013,325,Alice Hyde Medical Center,690,2,Acute Leukemia,Moderate,M,Medical,1,49080.42,49080.42,18670.51,18670.51
2013,325,Alice Hyde Medical Center,691,2,"Lymphoma, Myeloma & Non-Acute Leukemia",Moderate,M,Medical,1,7238.25,7238.25,2728.94,2728.94
2013,325,Alice Hyde Medical Center,691,3,"Lymphoma, Myeloma & Non-Acute Leukemia",Major,M,Medical,1,31482.03,31482.03,9743.9,9743.9
2013,325,Alice Hyde Medical Center,691,4,"Lymphoma, Myeloma & Non-Acute Leukemia",Extreme,M,Medical,1,6627.33,6627.33,2379.16,2379.16
2013,325,Alice Hyde Medical Center,694,2,Lymphatic & Other Malignancies & Neoplasms Of Uncertain Behavior,Moderate,M,Medical,1,5159.04,5159.04,1929.07,1929.07
2013,325,Alice Hyde Medical Center,694,3,Lymphatic & Other Malignancies & Neoplasms Of Uncertain Behavior,Major,M,Medical,1,14244.89,14244.89,4235.91,4235.91
2013,325,Alice Hyde Medical Center,710,2,Infectious & Parasitic Diseases Including Hiv W O.R. Procedure,Moderate,P,Surgical,2,14052.91,14052.91,8384.07,8384.07
2013,325,Alice Hyde Medical Center,710,3,Infectious & Parasitic Diseases Including Hiv W O.R. Procedure,Major,P,Surgical,3,33599.59,34227.15,18594.49,17271.43
2013,325,Alice Hyde Medical Center,710,4,Infectious & Parasitic Diseases Including Hiv W O.R. Procedure,Extreme,P,Surgical,4,38695.15,35794.96,26699.72,15292.02
2013,325,Alice Hyde Medical Center,711,1,"Post-Op, Post-Trauma, Other Device Infections W O.R. Procedure",Minor,P,Surgical,2,10618.74,10618.74,3734.94,3734.94
2013,325,Alice Hyde Medical Center,711,2,"Post-Op, Post-Trauma, Other Device Infections W O.R. Procedure",Moderate,P,Surgical,1,11131.97,11131.97,4147.4,4147.4
2013,325,Alice Hyde Medical Center,711,3,"Post-Op, Post-Trauma, Other Device Infections W O.R. Procedure",Major,P,Surgical,1,11579.81,11579.81,4303.72,4303.72
2013,325,Alice Hyde Medical Center,720,1,Septicemia & Disseminated Infections,Minor,M,Medical,2,8794.5,8794.5,2495.89,2495.89
2013,325,Alice Hyde Medical Center,720,2,Septicemia & Disseminated Infections,Moderate,M,Medical,46,8015.4,8175.25,2831.37,2480.02
2013,325,Alice Hyde Medical Center,720,3,Septicemia & Disseminated Infections,Major,M,Medical,60,12951.77,10468.65,7306.05,3889.89
2013,325,Alice Hyde Medical Center,720,4,Septicemia & Disseminated Infections,Extreme,M,Medical,17,19508.86,18142.11,15386.18,14265.19
2013,325,Alice Hyde Medical Center,721,2,"Post-Operative, Post-Traumatic, Other Device Infections",Moderate,M,Medical,2,8665.08,8665.08,2646.28,2646.28
2013,325,Alice Hyde Medical Center,721,3,"Post-Operative, Post-Traumatic, Other Device Infections",Major,M,Medical,2,10194.6,10194.6,5698.58,5698.58
2013,325,Alice Hyde Medical Center,751,2,Major Depressive Disorders & Other/Unspecified Psychoses,Moderate,M,Medical,1,3368.95,3368.95,852.64,852.64
2013,325,Alice Hyde Medical Center,754,2,Depression Except Major Depressive Disorder,Moderate,M,Medical,1,8319.98,8319.98,6224.71,6224.71
2013,325,Alice Hyde Medical Center,756,1,Acute Anxiety & Delirium States,Minor,M,Medical,2,3507.14,3507.14,1169.62,1169.62
2013,325,Alice Hyde Medical Center,756,3,Acute Anxiety & Delirium States,Major,M,Medical,1,4870.17,4870.17,5476.98,5476.98
2013,325,Alice Hyde Medical Center,757,2,Organic Mental Health Disturbances,Moderate,M,Medical,2,9718.47,9718.47,3223.98,3223.98
2013,325,Alice Hyde Medical Center,757,3,Organic Mental Health Disturbances,Major,M,Medical,2,8761.44,8761.44,2867.88,2867.88
2013,325,Alice Hyde Medical Center,770,2,"Drug & Alcohol Abuse Or Dependence, Left Against Medical Advice",Moderate,M,Medical,1,3641.72,3641.72,1226.79,1226.79
2013,325,Alice Hyde Medical Center,775,1,Alcohol Abuse & Dependence,Minor,M,Medical,1,4819.03,4819.03,1659.11,1659.11
2013,325,Alice Hyde Medical Center,775,2,Alcohol Abuse & Dependence,Moderate,M,Medical,4,7135.96,6550.42,4815.89,3772.57
2013,325,Alice Hyde Medical Center,775,3,Alcohol Abuse & Dependence,Major,M,Medical,2,8550.7,8550.7,8021.49,8021.49
2013,325,Alice Hyde Medical Center,791,1,O.R. Procedure For Other Complications Of Treatment,Minor,P,Surgical,2,13001.04,13001.04,8706.19,8706.19
2013,325,Alice Hyde Medical Center,811,2,Allergic Reactions,Moderate,M,Medical,1,3941.63,3941.63,5216.59,5216.59
2013,325,Alice Hyde Medical Center,812,1,Poisoning Of Medicinal Agents,Minor,M,Medical,1,3719.36,3719.36,5098.33,5098.33
2013,325,Alice Hyde Medical Center,812,2,Poisoning Of Medicinal Agents,Moderate,M,Medical,13,6653.92,6440.14,7785.71,6009.96
2013,325,Alice Hyde Medical Center,812,3,Poisoning Of Medicinal Agents,Major,M,Medical,5,11141.73,10612.65,10185.37,10916.16
2013,325,Alice Hyde Medical Center,816,2,Toxic Effects Of Non-Medicinal Substances,Moderate,M,Medical,2,5964.4,5964.4,4701.76,4701.76
2013,325,Alice Hyde Medical Center,816,3,Toxic Effects Of Non-Medicinal Substances,Major,M,Medical,1,5751.47,5751.47,1556.46,1556.46
2013,325,Alice Hyde Medical Center,861,1,"Signs, Symptoms & Other Factors Influencing Health Status",Minor,M,Medical,6,5727.03,3757.31,4080.96,4623.62
2013,325,Alice Hyde Medical Center,861,2,"Signs, Symptoms & Other Factors Influencing Health Status",Moderate,M,Medical,8,9388.54,8259.02,3564.48,2704.48
2013,325,Alice Hyde Medical Center,861,3,"Signs, Symptoms & Other Factors Influencing Health Status",Major,M,Medical,3,8578.42,8703.71,3106.89,3116.56
2013,325,Alice Hyde Medical Center,863,1,Neonatal Aftercare,Minor,M,Medical,1,2861.5,2861.5,1089.44,1089.44
2013,325,Alice Hyde Medical Center,930,4,Multiple Significant Trauma W/O O.R. Procedure,Extreme,M,Medical,1,42255.08,42255.08,30855.22,30855.22
2013,325,Alice Hyde Medical Center,950,3,Extensive Procedure Unrelated To Principal Diagnosis,Major,P,Surgical,1,50121.79,50121.79,29909.67,29909.67
2013,325,Alice Hyde Medical Center,951,2,Moderately Extensive Procedure Unrelated To Principal Diagnosis,Moderate,P,Surgical,1,12935.45,12935.45,4343.67,4343.67
2013,325,Alice Hyde Medical Center,951,3,Moderately Extensive Procedure Unrelated To Principal Diagnosis,Major,P,Surgical,1,22976.25,22976.25,15568.48,15568.48
2013,325,Alice Hyde Medical Center,952,1,Nonextensive Procedure Unrelated To Principal Diagnosis,Minor,P,Surgical,1,9061,9061,3877.16,3877.16
2013,116,Arnot Ogden Medical Center,4,1,Tracheostomy W MV 96+ Hours W Extensive Procedure Or Ecmo,Minor,P,Surgical,1,46471.92,46471.92,11035.6,11035.6
2013,116,Arnot Ogden Medical Center,4,3,Tracheostomy W MV 96+ Hours W Extensive Procedure Or Ecmo,Major,P,Surgical,1,123832.01,123832.01,36716.71,36716.71
2013,116,Arnot Ogden Medical Center,4,4,Tracheostomy W MV 96+ Hours W Extensive Procedure Or Ecmo,Extreme,P,Surgical,7,240210.05,238418.53,75938.17,72958.55
2013,116,Arnot Ogden Medical Center,5,3,Tracheostomy W MV 96+ Hours W/O Extensive Procedure,Major,P,Surgical,1,115506.79,115506.79,37592.41,37592.41
2013,116,Arnot Ogden Medical Center,5,4,Tracheostomy W MV 96+ Hours W/O Extensive Procedure,Extreme,P,Surgical,8,207500.04,195863.08,66137.06,65080.09
2013,116,Arnot Ogden Medical Center,20,2,Craniotomy For Trauma,Moderate,P,Surgical,1,38295.55,38295.55,12744.25,12744.25
2013,116,Arnot Ogden Medical Center,20,4,Craniotomy For Trauma,Extreme,P,Surgical,4,154233.01,165574.47,48445.01,51901.29
2013,116,Arnot Ogden Medical Center,21,1,Craniotomy Except For Trauma,Minor,P,Surgical,5,44887.24,41650.15,13699.53,13221.74
2013,116,Arnot Ogden Medical Center,21,2,Craniotomy Except For Trauma,Moderate,P,Surgical,9,74154.21,78769.93,21682.44,23778.23
2013,116,Arnot Ogden Medical Center,21,3,Craniotomy Except For Trauma,Major,P,Surgical,7,106207.95,100034.96,33172.3,29973.82
2013,116,Arnot Ogden Medical Center,21,4,Craniotomy Except For Trauma,Extreme,P,Surgical,5,171675.55,142226.47,50421.73,41372.79
2013,116,Arnot Ogden Medical Center,22,1,Ventricular Shunt Procedures,Minor,P,Surgical,2,20650.3,20650.3,7625.61,7625.61
2013,116,Arnot Ogden Medical Center,22,2,Ventricular Shunt Procedures,Moderate,P,Surgical,1,29629.64,29629.64,10011.1,10011.1
2013,116,Arnot Ogden Medical Center,22,4,Ventricular Shunt Procedures,Extreme,P,Surgical,1,48762.41,48762.41,14521.63,14521.63
2013,116,Arnot Ogden Medical Center,23,1,Spinal Procedures,Minor,P,Surgical,1,17367.09,17367.09,6735.43,6735.43
2013,116,Arnot Ogden Medical Center,23,2,Spinal Procedures,Moderate,P,Surgical,2,27555.14,27555.14,10232.32,10232.32
